iter	Passed	Remaining
0	0	87
1	1	65
2	1	61
3	2	54
4	2	51
5	3	49
6	3	51
7	4	55
8	5	55
9	6	55
10	6	54
11	7	52
12	7	50
13	8	49
14	8	48
15	8	46
16	9	46
17	9	45
18	10	43
19	10	42
20	11	41
21	11	40
22	11	40
23	12	39
24	13	39
25	13	39
26	14	38
27	14	37
28	15	36
29	15	35
30	15	35
31	16	34
32	16	33
33	16	32
34	17	32
35	17	31
36	18	30
37	18	30
38	19	29
39	19	29
40	20	29
41	20	28
42	20	27
43	21	27
44	21	26
45	22	26
46	22	25
47	22	24
48	23	24
49	23	23
50	24	23
51	24	22
52	25	22
53	25	21
54	25	21
55	26	20
56	26	20
57	27	19
58	27	19
59	28	18
60	28	18
61	28	17
62	29	17
63	29	16
64	30	16
65	30	15
66	31	15
67	31	14
68	32	14
69	32	14
70	33	13
71	34	13
72	35	13
73	35	12
74	36	12
75	36	11
76	37	11
77	37	10
78	38	10
79	38	9
80	39	9
81	39	8
82	40	8
83	40	7
84	41	7
85	42	6
86	42	6
87	43	5
88	43	5
89	44	4
90	44	4
91	45	3
92	45	3
93	46	2
94	46	2
95	47	1
96	48	1
97	48	0
98	49	0
99	49	0
